Operator,   Station        Unit,Zone,PTID,Town,Cnty,St,In-Service,Name Plate Rating (MW),CRIS_Summer,CRIS_Winter,Capability_Summer,Capability_Winter,Dual,Unit_Type,Fuel_1,Fuel_2,Net Energy (GWh)
Erie Blvd. Hydro - Black River,Black River 2,E,24047,Black River,45,36,1920-01-01,2,2.3,2.3,2,2,,HY,WAT,,12.1
Erie Blvd. Hydro - Black River,Black River 3,E,24047,Black River,45,36,1920-01-01,2,2.3,2.3,2,2,,HY,WAT,,7.1
Erie Blvd. Hydro - Black River,Deferiet 1,E,24047,Deferiet,45,36,1925-01-01,3.6,3.7,3.7,3.6,3.6,,HY,WAT,,20.1
Erie Blvd. Hydro - Black River,Deferiet 2,E,24047,Deferiet,45,36,1925-01-01,3.6,3.7,3.7,3.6,3.6,,HY,WAT,,26.1
Erie Blvd. Hydro - Black River,Deferiet 3,E,24047,Deferiet,45,36,1925-01-01,3.6,3.7,3.7,3.6,3.6,,HY,WAT,,21.4
Erie Blvd. Hydro - Black River,Herrings 1,E,24047,Herrings,45,36,1924-01-01,1.8,1.8,1.8,1.8,1.8,,HY,WAT,,5.6
Erie Blvd. Hydro - Black River,Herrings 2,E,24047,Herrings,45,36,1924-01-01,1.8,1.8,1.8,1.8,1.8,,HY,WAT,,11.2
Erie Blvd. Hydro - Black River,Herrings 3,E,24047,Herrings,45,36,1924-01-01,1.8,1.8,1.8,1.8,1.8,,HY,WAT,,9.4
Erie Blvd. Hydro - Black River,Kamargo 1,E,24047,Black River,45,36,1921-01-01,1.8,1.8,1.8,1.8,1.8,,HY,WAT,,9.6
Erie Blvd. Hydro - Black River,Kamargo 2,E,24047,Black River,45,36,1921-01-01,1.8,1.8,1.8,1.8,1.8,,HY,WAT,,11.3
Erie Blvd. Hydro - Black River,Kamargo 3,E,24047,Black River,45,36,1921-01-01,1.8,1.8,1.8,1.8,1.8,,HY,WAT,,7.1
Erie Blvd. Hydro - Black River,Sewalls 1,E,24047,Watertown,45,36,1925-01-01,1,1.1,1.1,1,1,,HY,WAT,,7.8
Erie Blvd. Hydro - Black River,Sewalls 2,E,24047,Watertown,45,36,1925-01-01,1,1.1,1.1,1,1,,HY,WAT,,6.6
Erie Blvd. Hydro - Beaver River,Belfort 1,E,24048,Belfort,49,36,1903-01-01,0.4,0.4,0.4,0.4,0.4,,HY,WAT,,2.5
Erie Blvd. Hydro - Beaver River,Belfort 2,E,24048,Belfort,49,36,1915-01-01,0.6,0.6,0.6,0.6,0.6,,HY,WAT,,3.2
Erie Blvd. Hydro - Beaver River,Belfort 3,E,24048,Belfort,49,36,1918-01-01,1,1,1,1,1,,HY,WAT,,7.1
Erie Blvd. Hydro - Beaver River,Eagle 1,E,24048,Watson,49,36,1914-01-01,1.3,1.2,1.2,1.3,1.3,,HY,WAT,,7.8
Erie Blvd. Hydro - Beaver River,Eagle 2,E,24048,Watson,49,36,1915-01-01,1.4,1.3,1.3,1.4,1.4,,HY,WAT,,6.7
Erie Blvd. Hydro - Beaver River,Eagle 3,E,24048,Watson,49,36,1919-01-01,1.4,1.3,1.3,1.4,1.4,,HY,WAT,,5.4
Erie Blvd. Hydro - Beaver River,Eagle 4,E,24048,Watson,49,36,1925-01-01,2.1,2,2,2.1,2.1,,HY,WAT,,12.1
Erie Blvd. Hydro - Beaver River,Effley 1,E,24048,Belfort,49,36,1902-01-01,0.4,0.3,0.3,0.4,0.4,,HY,WAT,,2.8
Erie Blvd. Hydro - Beaver River,Effley 2,E,24048,Belfort,49,36,1907-01-01,0.4,0.3,0.3,0.4,0.4,,HY,WAT,,0.1
Erie Blvd. Hydro - Beaver River,Effley 3,E,24048,Belfort,49,36,1910-01-01,0.6,0.5,0.5,0.6,0.6,,HY,WAT,,4
Erie Blvd. Hydro - Beaver River,Effley 4,E,24048,Belfort,49,36,1923-01-01,1.6,1.5,1.5,1.6,1.6,,HY,WAT,,9.4
Erie Blvd. Hydro - Beaver River,Elmer 1,E,24048,Belfort,49,36,1916-01-01,0.8,0.9,0.9,0.8,0.8,,HY,WAT,,4.6
Erie Blvd. Hydro - Beaver River,Elmer 2,E,24048,Belfort,49,36,1916-01-01,0.8,0.9,0.9,0.8,0.8,,HY,WAT,,6.5
Erie Blvd. Hydro - Beaver River,High Falls 1,E,24048,Indian River,49,36,1925-01-01,1.6,1.9,1.9,1.6,1.6,,HY,WAT,,8.3
Erie Blvd. Hydro - Beaver River,High Falls 2,E,24048,Indian River,49,36,1925-01-01,1.6,1.9,1.9,1.6,1.6,,HY,WAT,,11.1
Erie Blvd. Hydro - Beaver River,High Falls 3,E,24048,Indian River,49,36,1925-01-01,1.6,1.9,1.9,1.6,1.6,,HY,WAT,,15.2
Erie Blvd. Hydro - Beaver River,Moshier 1,E,24048,Belfort,43,36,1929-01-01,4,4,4,4,4,,HY,WAT,,22.2
Erie Blvd. Hydro - Beaver River,Moshier 2,E,24048,Belfort,43,36,1929-01-01,4,4,4,4,4,,HY,WAT,,20.5
Erie Blvd. Hydro - Beaver River,Soft Maple 1,E,24048,Croghan,49,36,1925-01-01,7.5,8,8,7.5,7.5,,HY,WAT,,20.9
Erie Blvd. Hydro - Beaver River,Soft Maple 2,E,24048,Croghan,49,36,1925-01-01,7.5,8,8,7.5,7.5,,HY,WAT,,25
Erie Blvd. Hydro - Beaver River,Taylorville 1,E,24048,Belfort,49,36,1913-01-01,1.1,1,1,1.1,1.1,,HY,WAT,,7
Erie Blvd. Hydro - Beaver River,Taylorville 2,E,24048,Belfort,49,36,1913-01-01,1.1,1,1,1.1,1.1,,HY,WAT,,6.9
Erie Blvd. Hydro - Beaver River,Taylorville 3,E,24048,Belfort,49,36,1913-01-01,1.1,1,1,1.1,1.1,,HY,WAT,,7.2
Erie Blvd. Hydro - Beaver River,Taylorville 4,E,24048,Belfort,49,36,1927-01-01,1.2,1.1,1.1,1.2,1.2,,HY,WAT,,5.1
Erie Blvd. Hydro - West Canada,Prospect,E,24049,Prospect,43,36,1959-01-01,17.3,21.7,21.7,17.3,17.3,,HY,WAT,,78
Erie Blvd. Hydro - West Canada,Trenton Falls 5,E,24049,Trenton,65,36,1919-01-01,6.8,9.6,9.6,6.8,6.8,,HY,WAT,,51.5
Erie Blvd. Hydro - West Canada,Trenton Falls 6,E,24049,Trenton,65,36,1919-01-01,6.4,9.1,9.1,6.4,6.4,,HY,WAT,,50.9
Erie Blvd. Hydro - West Canada,Trenton Falls 7,E,24049,Trenton,65,36,1922-01-01,6.4,9.1,9.1,6.4,6.4,,HY,WAT,,37.8
Erie Blvd. Hydro - East Canada Mohawk,Inghams 1,E,24050,Little Falls,43,36,1912-01-01,3.2,3.5,3.5,3.2,3.2,,HY,WAT,,14.4
Erie Blvd. Hydro - East Canada Mohawk,Inghams 2,E,24050,Little Falls,43,36,1912-01-01,3.2,3.5,3.5,3.2,3.2,,HY,WAT,,16.1
Erie Blvd. Hydro - Upper Raquette,Blake,E,24056,Stark,89,36,1957-01-01,14.4,15.6,15.6,14.4,14.4,,HY,WAT,,69.8
Erie Blvd. Hydro - Upper Raquette,Five Falls,E,24056,Colton,89,36,1955-01-01,22.5,24.4,24.4,22.5,22.5,,HY,WAT,,117.8
Erie Blvd. Hydro - Upper Raquette,Rainbow Falls,E,24056,Colton,89,36,1956-01-01,22.5,24.4,24.4,22.5,22.5,,HY,WAT,,118.6
Erie Blvd. Hydro - Upper Raquette,South Colton,E,24056,South Colton,89,36,1954-01-01,19.4,20.9,20.9,19.4,19.4,,HY,WAT,,95.4
Erie Blvd. Hydro - Upper Raquette,Stark,E,24056,Stark,89,36,1957-01-01,22.5,24.6,24.6,22.5,22.5,,HY,WAT,,110.5
Erie Blvd. Hydro - Lower Raquette,Colton 1,E,24057,Colton,89,36,1962-01-01,10,10,10,10,10,,HY,WAT,,81
Erie Blvd. Hydro - Lower Raquette,Colton 2,E,24057,Colton,89,36,1918-01-01,10,10,10,10,10,,HY,WAT,,76.9
Erie Blvd. Hydro - Lower Raquette,Colton 3,E,24057,Colton,89,36,1928-01-01,10,10,10,10,10,,HY,WAT,,13.7
Erie Blvd. Hydro - Lower Raquette,East Norfolk,E,24057,East Norfolk,89,36,1928-01-01,3.6,4,4,3.6,3.6,,HY,WAT,,9.8
Erie Blvd. Hydro - Lower Raquette,Hannawa Falls 1,E,24057,Hannawa Falls,89,36,1914-01-01,3.6,3.7,3.7,3.6,3.6,,HY,WAT,,27.7
Erie Blvd. Hydro - Lower Raquette,Hannawa Falls 2,E,24057,Hannawa Falls,89,36,1920-01-01,3.6,3.7,3.7,3.6,3.6,,HY,WAT,,26.3
Erie Blvd. Hydro - Lower Raquette,Higley 1,E,24057,Colton,89,36,1913-01-01,1.2,1.1,1.1,1.2,1.2,,HY,WAT,,9.8
Erie Blvd. Hydro - Lower Raquette,Higley 2,E,24057,Colton,89,36,1913-01-01,1.2,1.1,1.1,1.2,1.2,,HY,WAT,,8
Erie Blvd. Hydro - Lower Raquette,Higley 3,E,24057,Colton,89,36,1943-01-01,2.1,2,2,2.1,2.1,,HY,WAT,,10.8
Erie Blvd. Hydro - Lower Raquette,Higley 4,E,24057,Colton,89,36,1943-01-01,2.1,2,2,2.1,2.1,,HY,WAT,,10.5
Erie Blvd. Hydro - Lower Raquette,Norfolk,E,24057,Norfolk,89,36,1928-01-01,4.5,4.8,4.8,4.5,4.5,,HY,WAT,,31.4
Erie Blvd. Hydro - Lower Raquette,Norwood,E,24057,Norwood,89,36,1928-01-01,2,2.2,2.2,2,2,,HY,WAT,,13.5
Erie Blvd. Hydro - Lower Raquette,Raymondville,E,24057,Raymondville,89,36,1928-01-01,2,2.1,2.1,2,2,,HY,WAT,,14.2
Erie Blvd. Hydro - Lower Raquette,Sugar Island 1,E,24057,Potsdam,89,36,1924-01-01,2.5,2.1,2.1,2.5,2.5,,HY,WAT,,13.7
Erie Blvd. Hydro - Lower Raquette,Sugar Island 2,E,24057,Potsdam,89,36,1924-01-01,2.5,2,2,2.5,2.5,,HY,WAT,,16
Erie Blvd. Hydro - Lower Raquette,Yaleville 1,E,24057,Norwood,89,36,1940-01-01,0.5,0.2,0.2,0.5,0.5,,HY,WAT,,2.5
Erie Blvd. Hydro - Lower Raquette,Yaleville 2,E,24057,Norwood,89,36,1940-01-01,0.2,0.3,0.3,0.2,0.2,,HY,WAT,,1.2
"Madison Windpower, LLC",Madison Wind Power,E,24146,Madison,53,36,2000-09-01,11.6,11.5,11.5,11.6,11.6,,WT,WND,,12.4
"Flat Rock Windpower, LLC",Maple Ridge Wind 1,E,323574,Lowville,49,36,2006-01-01,231,231,231,231,231,,WT,WND,,397
"Flat Rock Windpower II, LLC",Maple Ridge Wind 2,E,323611,Lowville,49,36,2007-12-01,90.8,90.7,90.7,90.8,90.8,,WT,WND,,155.9
"Northbrook Lyons Falls, LLC",Hampshire Paper,E,323593,Gouverneur,89,36,1987-03-01,3.4,3.5,3.5,3.4,3.4,,HY,WAT,,8.8
"Munnsville Wind Farm, LLC",Munnsville Wind Power,E,323609,Bouckville,53,36,2007-08-20,34.5,34.5,34.5,34.5,34.5,,WT,WND,,75.7
"Innovative Energy Systems, Inc.",DANC LFGE,E,323619,Watertown,45,36,2008-09-08,6.4,6.4,6.4,6.4,6.4,,IC,MTE,,22.5
"WM Renewable Energy,LLC",Madison County LF,E,323628,Wampsville,53,36,2010-03-01,1.6,1.6,1.6,0,0,,IC,MTE,,0
Hardscrabble Wind Power LLC,Hardscrabble Wind,E,323673,Fairfield,43,36,2011-02-01,74,74,74,74,74,,WT,WND,,155.3
"WM Renewable Energy,LLC",Oneida-Herkimer  LFGE,E,323681,Boonville,65,36,2012-04-01,3.2,3.2,3.2,3.2,3.2,,IC,MTE,,26.2
EDF Renewable Energy,Copenhagen Wind Farm,E,323753,Copenhagen,49,36,2018-12-01,79.9,79.9,79.9,0,0,,WT,WND,,221.8
Avangrid Renewables LLC,Roaring Brook Wind,E,323790,Martinsburg,49,36,2021-08-30,79.7,79.7,79.7,79.7,79.7,,WT,WND,,171.2
Number Three Wind LLC,Number Three Wind Power,E,323818,Lowville,49,36,2023-07-01,103.9,105.8,105.8,103.9,103.9,,WT,WND,,163.4
"Bluestone Wind, LLC",BlueStone Wind,E,323821,Sanford,7,36,2024-02-01,111.8,124.2,124.2,111.8,111.8,,WT,WND,,67.6
Boralex Hydro Operations Inc,NYS Dam ,F,23527,Waterford,91,36,1990-12-01,11.4,11.3,11.3,11.4,11.4,,HY,WAT,,49.3
New York State Elec. & Gas Corp.,Mechanicville 1,F,23645,Stillwater,91,36,1983-09-01,9.2,10,10,9.2,9.2,,HY,WAT,,79.6
New York State Elec. & Gas Corp.,Mechanicville 2,F,23645,Stillwater,91,36,1983-09-01,9.3,10,10,9.3,9.3,,HY,WAT,,
New Athens Generating Company LLC,Athens 1,F,23668,Athens,39,36,2004-05-01,441,316.6,399.9,329.4,411.8,YES,CC,NG,FO2,473.3
New Athens Generating Company LLC,Athens 2,F,23670,Athens,39,36,2004-05-01,441,315.6,398.6,333.3,409.9,YES,CC,NG,FO2,794
New Athens Generating Company LLC,Athens 3,F,23677,Athens,39,36,2004-05-01,441,312.8,395.1,331.1,407.9,YES,CC,NG,FO2,569.4
Boralex Hydro Operations Inc,Warrensburg,F,23737,Warrensburg,113,36,1988-12-01,2.9,3,3,2.9,2.9,,HY,WAT,,16.2
New York Power Authority,Gilboa 1,F,23756,Gilboa NY,95,36,1973-07-01,290,290.7,290.7,293.1,291.5,,PS,WAT,,-73.4
New York Power Authority,Gilboa 2,F,23757,Gilboa NY,95,36,1973-07-01,290,291.2,291.2,292.1,292.5,,PS,WAT,,-16.1
New York Power Authority,Gilboa 3,F,23758,Gilboa NY,95,36,1973-07-01,290,291.7,291.7,292.9,291.7,,PS,WAT,,99.3
New York Power Authority,Gilboa 4,F,23759,Gilboa NY,95,36,1973-07-01,290,291.5,291.5,291.7,293.7,,PS,WAT,,-135.6
Rensselaer Generating LLC,Rensselaer,F,23796,Rensselaer,83,36,1993-12-01,96.9,79,79,76.3,81.7,YES,CC,NG,FO2,24.7
"Wheelabrator Hudson Falls, LLC",Wheelabrator Hudson Falls,F,23798,Hudson Falls,115,36,1991-10-01,14.4,12.7,12.7,10.4,10.2,,ST,REF,,62.9
"Selkirk Cogen Partners , L.P.",Selkirk-I,F,23801,Selkirk,1,36,1992-03-01,107.2,82.1,107.2,76.1,104.6,YES,CC,NG,FO2,43.8
"Selkirk Cogen Partners , L.P.",Selkirk-II,F,23799,Selkirk,1,36,1994-09-01,338.8,291.3,380.5,277.2,336.9,YES,CC,NG,FO2,96.4
Indeck-Corinth LP,Indeck-Corinth,F,23802,Corinth,91,36,1995-07-01,147,131.2,134,131.1,135.8,YES,CC,NG,FO2,483.2
"Castleton Power, LLC",Castleton Energy Center,F,23900,Castleton,83,36,1992-01-01,72,69,86.6,67.9,77.3,YES,CC,NG,FO2,90
New York Power Authority,Crescent 1,F,24018,Crescent,1,36,1991-07-01,2.8,3.2,3.2,2.8,2.8,,HY,WAT,,14.4
New York Power Authority,Crescent 2,F,24018,Crescent,1,36,1991-07-01,2.8,3.2,3.2,2.8,2.8,,HY,WAT,,16.5
New York Power Authority,Crescent 3,F,24018,Crescent,1,36,1991-07-01,3,3.2,3.2,3,3,,HY,WAT,,17.7
New York Power Authority,Crescent 4,F,24018,Crescent,1,36,1991-07-01,3,3.2,3.2,3,3,,HY,WAT,,15.7
New York Power Authority,Vischer Ferry 1,F,24020,Vischer Ferry,91,36,1991-07-01,2.8,3.2,3.2,2.8,2.9,,HY,WAT,,12.5
New York Power Authority,Vischer Ferry 2,F,24020,Vischer Ferry,91,36,1991-07-01,2.8,3.2,3.2,2.8,2.9,,HY,WAT,,15.1
New York Power Authority,Vischer Ferry 3,F,24020,Vischer Ferry,91,36,1991-07-01,3,3.2,3.2,3,2.9,,HY,WAT,,16.8
New York Power Authority,Vischer Ferry 4,F,24020,Vischer Ferry,91,36,1991-07-01,3,3.2,3.2,3,2.9,,HY,WAT,,13.4
Erie Blvd. Hydro - East Canada Capital,Beardslee 1,F,24051,Little Falls,43,36,1924-01-01,10,9.5,9.5,10,10,,HY,WAT,,19.4
Erie Blvd. Hydro - East Canada Capital,Beardslee 2,F,24051,Little Falls,43,36,1924-01-01,10,9.5,9.5,10,10,,HY,WAT,,33.8
Erie Blvd. Hydro - East Canada Capital,Ephratah 1,F,24051,Caroga Lake,35,36,1920-01-01,1.4,0.7,0.7,1.4,1.4,,HY,WAT,,1
Erie Blvd. Hydro - East Canada Capital,Ephratah 2,F,24051,Caroga Lake,35,36,1911-01-01,1.2,0.6,0.6,1.2,1.2,,HY,WAT,,1.5
Erie Blvd. Hydro - East Canada Capital,Ephratah 3,F,24051,Caroga Lake,35,36,1911-01-01,1.3,0,0,1.3,1.3,,HY,WAT,,0.1
Erie Blvd. Hydro - East Canada Capital,Ephratah 4,F,24051,Caroga Lake,35,36,1911-01-01,1.3,0.7,0.7,1.3,1.3,,HY,WAT,,6.5
Erie Blvd. Hydro - Upper Hudson,E J West 1,F,24058,Hadley,91,36,1930-01-01,10,11.9,11.9,11.9,11.9,,HY,WAT,,28.7
Erie Blvd. Hydro - Upper Hudson,E J West 2,F,24058,Hadley,91,36,1930-01-01,10,11.9,11.9,11.9,11.9,,HY,WAT,,40.6
Erie Blvd. Hydro - Upper Hudson,Feeder Dam 1,F,24058,S Glens Falls,91,36,1924-01-01,1.2,0.9,0.9,1.2,1.2,,HY,WAT,,5.8
Erie Blvd. Hydro - Upper Hudson,Feeder Dam 2,F,24058,S Glens Falls,91,36,1924-01-01,1.2,0.9,0.9,1.2,1.2,,HY,WAT,,5.5
Erie Blvd. Hydro - Upper Hudson,Feeder Dam 3,F,24058,S Glens Falls,91,36,1924-01-01,1.2,0.9,0.9,1.2,1.2,,HY,WAT,,4.6
Erie Blvd. Hydro - Upper Hudson,Feeder Dam 4,F,24058,S Glens Falls,91,36,1924-01-01,1.2,0.9,0.9,1.2,1.2,,HY,WAT,,5.9
Erie Blvd. Hydro - Upper Hudson,Feeder Dam 5,F,24058,S Glens Falls,91,36,1924-01-01,1.2,0.9,0.9,1.2,1.2,,HY,WAT,,6.1
Erie Blvd. Hydro - Upper Hudson,Sherman Island 2,F,24058,Queensbury,113,36,1923-01-01,7.2,8.1,8.1,8.1,8.1,,HY,WAT,,46.3
Erie Blvd. Hydro - Upper Hudson,Sherman Island 3,F,24058,Queensbury,113,36,1923-01-01,8.7,9.7,9.7,9.7,9.7,,HY,WAT,,41.6
Erie Blvd. Hydro - Upper Hudson,Sherman Island 4,F,24058,Queensbury,113,36,1923-01-01,7.2,8.1,8.1,8.1,8.1,,HY,WAT,,29.4
Erie Blvd. Hydro - Upper Hudson,Sherman Island 5,F,24058,Queensbury,113,36,1923-01-01,7.2,8.1,8.1,8.1,8.1,,HY,WAT,,38.5
Erie Blvd. Hydro - Upper Hudson,Spier Falls 1,F,24058,Moreau,91,36,1924-01-01,6.8,8.4,8.4,8.1,8.1,,HY,WAT,,56.5
Erie Blvd. Hydro - Upper Hudson,Spier Falls 2,F,24058,Moreau,91,36,1930-01-01,37.6,46.9,46.9,38.1,38.1,,HY,WAT,,195.8
Erie Blvd. Hydro - Upper Hudson,Stewarts Bridge 1,F,24058,Hadley,91,36,1952-01-01,30,35.8,35.8,32.5,32.5,,HY,WAT,,112.5
Erie Blvd. Hydro - Lower Hudson,Johnsonville 1,F,24059,Johnsonville,83,36,1909-01-01,1.2,1.3,1.3,1.2,1.2,,HY,WAT,,6.4
Erie Blvd. Hydro - Lower Hudson,Johnsonville 2,F,24059,Johnsonville,83,36,1909-01-01,1.2,1.3,1.3,1.2,1.2,,HY,WAT,,7.2
Erie Blvd. Hydro - Lower Hudson,Schaghticoke 1,F,24059,Schaghticoke,83,36,1908-01-01,3.3,4.1,4.1,3.3,3.3,,HY,WAT,,25
Erie Blvd. Hydro - Lower Hudson,Schaghticoke 2,F,24059,Schaghticoke,83,36,1908-01-01,3.3,4.1,4.1,3.3,3.3,,HY,WAT,,30
Erie Blvd. Hydro - Lower Hudson,Schaghticoke 3,F,24059,Schaghticoke,83,36,1908-01-01,3.3,4.1,4.1,3.3,3.3,,HY,WAT,,22.5
Erie Blvd. Hydro - Lower Hudson,Schaghticoke 4,F,24059,Schaghticoke,83,36,1908-01-01,3.3,4.1,4.1,3.3,3.3,,HY,WAT,,8.9
Erie Blvd. Hydro - Lower Hudson,School Street 1,F,24059,Cohoes,1,36,1974-01-01,7.2,6.9,6.9,7.2,7.2,,HY,WAT,,35.3
Erie Blvd. Hydro - Lower Hudson,School Street 2,F,24059,Cohoes,1,36,1915-01-01,7.2,6.9,6.9,7.2,7.2,,HY,WAT,,0
Erie Blvd. Hydro - Lower Hudson,School Street 3,F,24059,Cohoes,1,36,1915-01-01,7.2,6.9,6.9,7.2,7.2,,HY,WAT,,39.2
Erie Blvd. Hydro - Lower Hudson,School Street 4,F,24059,Cohoes,1,36,1922-01-01,7.2,6.9,6.9,7.2,7.2,,HY,WAT,,31.7
Erie Blvd. Hydro - Lower Hudson,School Street 5,F,24059,Cohoes,1,36,1924-01-01,10,9.6,9.6,10,10,,HY,WAT,,61.8
GB II New York LLC,Bethlehem GS1,F,323560,Bethlehem,1,36,2005-07-01,297.7,278.3,308.2,272.8,308.7,YES,CC,NG,FO2,"6,232.60"
GB II New York LLC,Bethlehem GS2,F,323561,Bethlehem,1,36,2005-07-01,297.7,278.3,308.3,272.8,308.7,YES,CC,NG,FO2,
GB II New York LLC,Bethlehem GS3,F,323562,Bethlehem,1,36,2005-07-01,297.7,278.4,308.3,272.8,308.7,YES,CC,NG,FO2,
"Innovative Energy Systems, Inc.",Colonie LFGTE,F,323577,Colonie,1,36,2006-03-01,6.4,6.4,6.4,6.4,6.4,,IC,MTE,,34.6
Albany Energy LLC,Albany LFGE,F,323615,Albany,1,36,1998-05-01,5.6,4.5,4.5,5.6,5.6,,IC,MTE,,8.8
"Innovative Energy Systems, Inc.",Fulton LFGE,F,323630,Johnstown,35,36,2010-06-04,3.2,3.2,3.2,3.2,3.2,,IC,MTE,,14.6
"SBF New York, L.L.C.",Beacon LESR,F,323632,Stephentown,83,36,2010-11-29,20,0,0,0,0,,ES,FW,,-6.9
"Empire Generating Co, LLC",Empire CC1,F,323656,Rensselaer,83,36,2010-09-02,335,294.2,360.2,293.7,331.4,YES,CC,NG,FO2,"1,313.80"
"Empire Generating Co, LLC",Empire CC2,F,323658,Rensselaer,83,36,2010-09-02,335,298.2,365.1,293.7,331.4,YES,CC,NG,FO2,"1,679.80"
Galt Power Inc.,LaChute,F,323717,Ticonderoga,31,36,1987-12-01,8.9,8.9,8.9,8.9,8.9,,HY,WAT,,39.3
Galt Power Inc.,KCE NY 1,F,323755,Stillwater,91,36,2019-03-13,20,0,0,0,0,,ES,BAT,,-2.8
"Gravity Renewables, Inc.",Dahowa Hydroelectric,F,323763,Middle Falls,115,36,1987-12-01,12.3,10.5,10.5,12.3,12.3,,HY,WAT,,42.8
Galt Power Inc.,Branscomb Solar,F,323811,Easton,115,36,2021-12-18,20,20,20,20,20,,PV,SUN,,33
Galt Power Inc.,Darby Solar,F,323810,Easton,115,36,2023-07-01,20,20,20,20,20,,PV,SUN,,15
Galt Power Inc.,Regan Solar,F,323812,Greene,57,36,2022-12-28,20,20,20,20,20,,PV,SUN,,9
Galt Power Inc.,Grissom Solar,F,323813,Mohawk,57,36,2023-02-23,20,20,20,20,20,,PV,SUN,,22.3
Galt Power Inc.,Stillwater Solar,F,323814,Stillwater,91,36,2024-02-01,20,20,20,20,20,,PV,SUN,,1.3
Galt Power Inc.,Pattersonville Solar,F,323815,Schenectady,93,36,2024-02-24,20,20,20,20,20,,PV,SUN,,
Hecate Energy,Albany County Solar 1,F,323833,Colonie,1,36,2024-02-15,20,20,20,20,20,,PV,SUN,,
Hecate Energy ,Albany County Solar 2,F,323834,Colonie,1,36,2024-02-15,20,20,20,20,20,,PV,SUN,,
"GenOn Bowline,LLC",Bowline 1,G,23526,West Haverstraw,87,36,1972-09-01,621,594,594,577.8,582.5,YES,ST,NG,FO6,701.2
"GenOn Bowline,LLC",Bowline 2,G,23595,West Haverstraw,87,36,1974-05-01,621,575,575,565.2,577.1,YES,ST,NG,FO6,234.6
"Danskammer Energy ,LLC",Danskammer 1,G,23586,Newburgh,71,36,1951-12-01,72,69,69,68.5,68.9,YES,ST,NG,FO6,1.5
"Danskammer Energy ,LLC",Danskammer 2,G,23589,Newburgh,71,36,1954-09-01,73.5,64.7,64.7,65,65.4,YES,ST,NG,FO6,1.3
"Danskammer Energy ,LLC",Danskammer 3,G,23590,Newburgh,71,36,1959-10-01,147.1,139.2,139.2,140.1,142.2,,ST,NG,,4.4
"Danskammer Energy ,LLC",Danskammer 4,G,23591,Newburgh,71,36,1967-09-01,239.4,238.2,238.2,225.8,230.7,,ST,NG,,12
"Roseton Generating, LLC",Roseton 1,G,23587,Newburgh,71,36,1974-12-01,621,614.8,614.8,615.7,613.3,YES,ST,NG,FO6,77.2
"Roseton Generating, LLC",Roseton 2,G,23588,Newburgh,71,36,1974-09-01,621,607.7,607.7,612.5,613,YES,ST,NG,FO6,115.5
New York Power Authority,Grahamsville,G,23607,Grahamsville,105,36,1956-12-01,18,16.3,16.3,18,18,,HY,WAT,,76
New York Power Authority,Neversink,G,23608,Grahamsville,105,36,1953-12-01,25,22,22,25,25,,HY,WAT,,21.3
Central Hudson Gas & Electric Corp.,Coxsackie GT,G,23611,Coxsackie,39,36,1969-12-01,21.6,21.6,26,19.7,22.7,YES,GT,NG,KER,0.5
Central Hudson Gas & Electric Corp.,South Cairo,G,23612,Cairo,39,36,1970-06-01,21.6,19.8,25.9,14.6,20.7,,GT,KER,,0.1
"Seneca Power Partners, L.P.",Hillburn GT,G,23639,Hillburn,87,36,1971-04-01,46.5,37.9,51.8,36,42.7,YES,JE,NG,KER,0.4
"Seneca Power Partners, L.P.",Shoemaker GT,G,23640,Middletown,71,36,1971-05-01,41.9,33.1,45.2,35.4,40.7,YES,JE,NG,KER,0.5
"Eagle Creek Hydro Power, LLC",Mongaup 1,G,23641,Forestburg,105,36,1923-07-01,1,0.9,0.9,0.9,0.9,,HY,WAT,,60
"Eagle Creek Hydro Power, LLC",Mongaup 2,G,23641,Forestburg,105,36,1923-07-01,1,1,1,0.9,0.9,,HY,WAT,,
"Eagle Creek Hydro Power, LLC",Mongaup 3,G,23641,Forestburg,105,36,1923-07-01,1,1,1,0.9,0.9,,HY,WAT,,
"Eagle Creek Hydro Power, LLC",Mongaup 4,G,23641,Forestburg,105,36,1926-01-01,1,1,1,0.9,0.9,,HY,WAT,,
"Eagle Creek Hydro Power, LLC",Rio,G,23641,Glen Spey,105,36,1927-12-01,10.8,10.8,10.8,9.3,9.5,,HY,WAT,,
"Eagle Creek Hydro Power, LLC",Swinging Bridge 2,G,23641,Forestburg,105,36,1930-02-01,9,7.9,7.9,7.7,7.9,,HY,WAT,,
New York Power Authority,Ashokan 1,G,23654,Ashokan,111,36,1982-11-01,2.3,1.8,1.8,4.6,4.6,,HY,WAT,,5.7
New York Power Authority,Ashokan 2,G,23654,Ashokan,111,36,1982-11-01,2.3,1.8,1.8,4.6,4.6,,HY,WAT,,5
Central Hudson Gas & Electric Corp.,DCRRA,G,23765,Poughkeepsie,27,36,1987-09-01,9.2,8.8,8.8,6.2,5,,ST,REF,,10
Erie Blvd. Hydropower LP,West Delaware Hydro,G,323627,Grahamsville,105,36,1988-12-01,7.5,7.5,7.5,7.5,7.5,,HY,WAT,,16.8
"CPV Valley, LLC",CPV Valley CC1,G,323721,Wawayanda,71,36,2018-03-01,385,340,380.5,322.7,370,YES,CC,NG,FO2,"1,322.70"
